Title,Author,Genre,Publish_Date
Goat Brothers, Colton, History ,1993-01-01
The Missing Person, Grumbach, Fiction ,1981-03-01
Christmas Cookies, Eakin, Cooking ,1986-06-01
Shadow Song, Kay, Fiction ,1994-10-01
The Kiss: A Memoir, Harrison, Family,1997-03-01
Links Lore, Stevens, Sport,2000-06-01
Joshua and the City, Girzone, Religion ,1995-03-01
"New Lands, New Men", Goetzmann, Biography,1986-10-01
Titanic, Kirkland, Performing Arts ,1997-10-01
A Woman of Egypt, Sadat, Biography & Autobiography ,1987-08-01
Elvis in the Morning, Buckley, Fiction ,2002-06-01
Leadership Is an Art, De Pree, Business & Economics ,1990-08-01
First Things First, Covey, Psychology ,1994-01-01
Chagall, Compton, Art ,1985-05-01
Ride a Pale Horse, MacInnes, Fiction ,1984-10-01
Life Stories, Newbold, Science ,2000-04-01
Pope John Paul II, Szulc, Biography & Autobiography ,1995-04-01
Leadership Presence, Halpern, Business & Economics ,2004-10-01
The Visitation, Reidy, Fiction ,1997-12-01
Testimonies: A Novel, O'Brian, Fiction ,1995-07-01
Cooking for Jack, Nicholson, Cooking ,1996-11-01
Mother of Pearl, Haynes, Fiction ,1999-06-01
Icons, Winthrop, Fiction ,1990-01-01
Who Needs God, Kushner, Religion ,1989-09-01
Loving Thoughts, Rice, Poetry ,1984-11-01
The Final Days, Bernstein, Philosophy ,1976-05-01
Red Square, Smith, Fiction ,1992-10-01
Buffalo Gordon, Lewis, History ,2001-02-01
All Around The Town, Clark, Fiction ,1992-01-01
Einstein's Monsters, Amis, Fiction ,1987-05-01
Looking for Alaska, Jenkins, Travel ,2001-11-01
Give Us This Day, Tudor, Juvenile Fiction ,1987-10-01
Crossing Over Jordan, Brown, Fiction ,1995-01-01
Sun and Shadow, Green, Poetry ,1989-10-01
From Mama's Kitchen, Smith, Cooking ,1976-06-01
The Supernaturalist, Colfer, Young Adult Fiction ,2004-05-01
A Shaker's Dozen, Rocheleau, Juvenile Nonfiction ,1999-07-01
Personal History, Graham, Biography  ,1997-02-01
Extravagant Grace, Clairmont, Religion ,2000-01-01
Shella, Vachss, Fiction ,1993-03-01
DIY Girl, Gesue, Young Adult Nonfiction ,2003-06-01
Napoleon and Hitler, Seward, History ,1989-05-01
Too Busy to Clean, Barrett, House & Home ,1994-02-01
Roads to Antietam, Schildt, History ,1997-05-01
Mistler's Exit, Begley, Fiction ,1998-09-01
Teverton Hall, Gillespie, Fiction ,1984-03-01
The Witling, Vinge, Fiction ,1986-05-01
Our Nature, Gilbert, Science ,1987-08-01
The New Grove Mozart, Sadie, Biography & Autobiography ,1983-02-01
The Only Way I Know, Ripken, Biography & Autobiography ,1997-05-01
German A La Cartoon, Small, Foreign Language Study ,1990-11-01
Grandparenthood, Westheimer, Social Science ,2000-03-01
Bloodsong, Neimark, Fiction ,1993-08-01
Mariel of Redwall, Jacques, Young Adult Fiction ,2000-03-01
Inner Revolution, Thurman, Religion ,1999-03-01
Summerland, Chabon, Juvenile Fiction ,2002-10-01
Three Gospels, Price, Religion ,1996-05-01
Doing It, Burgess, Young Adult Fiction ,2004-05-01
Best Cat Stories, O'Mara, Pets ,1992-06-01
The Power of Nice, Dale, Business & Economics ,1998-09-01
Language and Myth, Cassirer, Philosophy ,1953-06-01
Ripken: Cal on Cal, Ripken, Biography  ,1997-01-01
This Lullaby, Dessen, Young Adult Fiction ,2004-03-01
Young Men and Fire, MacLean, Nature ,1992-01-01
F2f, Finch, Fiction ,1996-03-01
Flavor, DiSpirito, Cooking ,2003-11-01
All the Way Home, Giff, Juvenile Fiction ,2001-10-01
Western, Yer, Fiction ,1982-08-01
Cars 1886-1930, Georgano, Science ,1985-01-01
Your Sacred Self, Dyer, Religion ,1995-04-01
Balancing Acts, Hoagland, Nature ,1992-12-01
Brass, Walsh, Fiction ,2004-10-01
Pilgrim: A Novel, Findley, Fiction ,2001-01-01
We Are America, Joy, Reference ,1992-03-01
Unravelling, Graver, Fiction ,1999-08-01
An Obedient Father, Sharma, Fiction ,2001-11-01
Like the Red Panda, Seigel, Fiction ,2004-04-01
The Survival Factor, Birkhead, Science ,1991-11-01
Truman, McCullough, Biography & Autobiography ,1992-06-01
Plumage, Springer, Fiction ,2000-11-01
Nine Innings, Okrent, Sports & Recreation ,1985-03-01
The Ordinary Seaman, Goldman, Fiction ,1998-01-01
Fire in My Soul, Lester, Biography & Autobiography ,2003-01-01
War Babies, Busch, Comics & Graphic Novels ,2001-06-01
